frame,time_s,x_px,y_px,path_mm,velocity_mm_s,accel_mm_s2
278,11.1200,481,318,1539.852,669.240,2595.906
279,11.1600,479,318,1541.852,547.996,1358.466
280,11.2000,479,322,1545.852,372.996,-466.534
281,11.2400,476,323,1549.014,212.030,-2076.187
282,11.2800,471,323,1554.014,123.013,-2966.363
283,11.3200,468,321,1557.619,88.839,-2902.003
284,11.3600,467,321,1558.619,83.839,-2320.783
285,11.4000,464,321,1561.619,78.839,-1470.783
286,11.4400,464,319,1563.619,73.028,-695.014
287,11.4800,463,314,1568.718,73.523,-247.450
288,11.5200,460,310,1573.718,80.495,-41.720
289,11.5600,458,305,1579.104,102.421,92.909
290,11.6000,458,306,1580.104,92.421,67.909
291,11.6400,457,302,1584.227,103.036,150.043
292,11.6800,455,301,1586.463,88.722,75.994
293,11.7200,459,296,1592.866,95.737,76.211
294,11.7600,461,288,1601.112,110.043,38.108
295,11.8000,462,277,1612.157,160.269,339.242
296,11.8400,463,262,1627.191,214.820,558.919
297,11.8800,462,246,1643.222,283.796,975.372
298,11.9200,458,230,1659.714,334.243,1192.526
299,11.9600,456,206,1683.798,413.427,1516.924
300,12.0000,454,205,1686.034,369.381,1045.558
301,12.0400,453,195,1696.084,344.464,648.218
302,12.0800,453,189,1702.084,294.308,52.559
303,12.1200,452,185,1706.207,232.461,-508.907
304,12.1600,451,182,1709.369,127.857,-1427.854
305,12.2000,450,181,1710.783,123.747,-1228.168
306,12.2400,449,180,1712.197,80.569,-1319.474
307,12.2800,451,179,1714.433,61.749,-1162.792
308,12.3200,453,178,1716.670,52.314,-900.735
309,12.3600,455,177,1718.906,47.683,-400.867
310,12.4000,459,180,1723.906,65.612,-290.676
311,12.4400,467,188,1735.219,115.110,172.703
312,12.4800,476,203,1752.712,191.394,648.221
313,12.5200,486,225,1776.878,301.044,1243.647
314,12.5600,490,253,1805.163,431.285,1918.007
315,12.6000,497,278,1831.124,536.092,2352.400
316,12.6400,491,297,1851.049,579.148,2320.192
317,12.6800,483,305,1862.363,548.252,1784.294
318,12.7200,474,301,1872.211,476.666,878.112
319,12.7600,470,294,1880.274,375.556,-278.643
320,12.8000,467,289,1886.105,274.903,-1305.945
321,12.8400,464,282,1893.720,213.358,-1828.951
322,12.8800,464,279,1896.720,171.789,-1882.315
323,12.9200,462,276,1900.326,140.573,-1680.467
324,12.9600,461,271,1905.425,125.756,-1248.997
325,13.0000,460,268,1908.587,112.413,-812.450
326,13.0400,457,266,1912.193,92.362,-604.979
327,13.0800,456,266,1913.193,82.362,-447.136
328,13.1200,456,268,1915.193,74.334,-331.192
329,13.1600,461,270,1920.578,75.765,-249.958
330,13.2000,469,274,1929.522,104.675,-38.691
331,13.2400,478,271,1939.009,134.081,208.597
332,13.2800,485,265,1948.229,175.179,464.085
333,13.3200,489,253,1960.878,228.425,770.452
334,13.3600,490,236,1977.907,286.646,1054.404
335,13.4000,489,224,1989.949,302.132,987.287
336,13.4400,484,215,2000.244,306.176,860.475
337,13.4800,481,208,2007.860,298.157,614.892
338,13.5200,478,206,2011.466,252.940,122.575
339,13.5600,475,203,2015.708,189.006,-488.199
340,13.6000,472,199,2020.708,153.798,-741.672
341,13.6400,471,196,2023.871,118.131,-940.226
342,13.6800,471,195,2024.871,85.052,-1065.526
343,13.7200,472,193,2027.107,78.205,-873.674
344,13.7600,474,192,2029.343,68.172,-604.169
345,13.8000,477,191,2032.505,58.983,-474.073
346,13.8400,482,195,2038.908,75.188,-214.718
347,13.8800,491,206,2053.121,141.251,280.993
348,13.9200,498,226,2074.310,236.019,789.069
349,13.9600,506,249,2098.662,346.596,1392.122
350,14.0000,512,271,2121.466,444.803,1929.096
351,14.0400,513,291,2141.491,512.912,2188.621
352,14.0800,509,306,2157.015,519.469,1891.092
353,14.1200,503,318,2170.431,480.603,1222.923
354,14.1600,498,321,2176.262,388.000,207.019
355,14.2000,491,321,2183.262,308.983,-679.100
356,14.2400,484,320,2190.333,244.213,-1343.494
357,14.2800,482,319,2192.569,177.772,-1708.485
358,14.3200,480,315,2197.041,133.051,-1737.761
359,14.3600,478,310,2202.426,130.822,-1285.890
360,14.4000,473,304,2210.237,134.873,-870.546
361,14.4400,470,298,2216.945,133.059,-555.769
362,14.4800,465,293,2224.016,157.234,-102.692
363,14.5200,466,288,2229.115,160.369,136.587
364,14.5600,466,285,2232.115,148.443,88.103
365,14.6000,467,283,2234.351,120.572,-71.508
366,14.6400,465,281,2237.180,101.173,-159.431
367,14.6800,468,279,2240.785,83.845,-366.944
368,14.7200,469,276,2243.947,74.162,-431.035
369,14.7600,470,277,2245.362,66.233,-411.050
370,14.8000,471,277,2246.362,60.052,-302.597
371,14.8400,472,279,2248.598,57.091,-220.412
372,14.8800,475,281,2252.203,57.091,-133.774
373,14.9200,477,282,2254.439,52.460,-108.511
374,14.9600,481,282,2258.439,65.388,-4.221
375,15.0000,486,277,2265.510,95.744,178.457
376,15.0400,490,271,2272.721,120.619,317.642
377,15.0800,490,259,2284.721,162.591,527.503
378,15.1200,492,242,2301.839,236.997,922.688
379,15.1600,491,226,2317.870,297.153,1158.824
380,15.2000,487,209,2335.334,349.119,1266.876
381,15.2400,479,191,2355.032,411.552,1454.666
382,15.2800,469,174,2374.755,450.168,1437.882
383,15.3200,458,159,2393.356,457.587,1102.948
384,15.3600,449,151,2405.398,437.639,702.427
385,15.4000,439,141,2419.540,421.028,359.545
386,15.4400,430,134,2430.941,379.548,-160.020
387,15.4800,423,133,2438.013,316.288,-669.397
388,15.5200,417,132,2444.095,253.697,-1019.451
389,15.5600,415,130,2446.924,207.631,-1150.039
390,15.6000,414,131,2448.338,143.991,-1385.184
391,15.6400,413,132,2449.752,94.053,-1427.474
392,15.6800,412,132,2450.752,63.698,-1262.950
393,15.7200,414,130,2453.581,47.426,-1031.351
394,15.7600,420,133,2460.289,66.825,-704.027
395,15.8000,434,144,2478.093,148.777,23.928
396,15.8400,447,160,2498.709,244.783,753.649
397,15.8800,465,185,2529.515,393.812,1650.572
398,15.9200,485,212,2563.115,547.673,2501.235
399,15.9600,498,241,2594.896,673.035,3031.047
400,16.0000,507,270,2625.260,735.835,2935.289
401,16.0400,511,283,2638.862,700.764,2279.905
402,16.0800,504,291,2649.492,599.886,1030.367
403,16.1200,497,289,2656.772,468.283,-396.950
404,16.1600,489,283,2666.772,359.381,-1568.269
405,16.2000,482,282,2673.843,242.914,-2464.603
406,16.2400,476,278,2681.054,210.962,-2449.011
407,16.2800,473,275,2685.297,179.025,-2104.306
408,16.3200,470,271,2690.297,167.624,-1503.297
409,16.3600,468,268,2693.902,135.652,-1118.645
410,16.4000,468,266,2695.902,110.296,-663.087
411,16.4400,467,266,2696.902,79.241,-658.606
412,16.4800,464,267,2700.065,73.839,-525.927
413,16.5200,462,268,2702.301,60.019,-538.023
414,16.5600,462,269,2703.301,46.992,-443.300
415,16.6000,465,270,2706.463,52.803,-287.467
416,16.6400,465,272,2708.463,57.803,-107.189
417,16.6800,465,271,2709.463,46.992,-134.237
418,16.7200,466,272,2710.877,42.882,-85.685
419,16.7600,476,271,2720.927,88.132,205.701
420,16.8000,481,267,2727.330,104.336,257.665
