frame,time_s,x_px,y_px,path_mm,velocity_mm_s,accel_mm_s2
297,9.8980,848,837,8606.000,309.810,-2421.218
298,9.9313,855,840,8613.615,304.239,-1484.983
299,9.9647,854,846,8619.698,302.317,-1057.218
300,9.9980,854,869,8642.698,323.822,-786.668
301,10.0313,837,882,8664.099,408.978,157.420
302,10.0646,830,903,8686.235,481.509,1030.404
303,10.0980,813,921,8710.994,584.388,1681.232
304,10.1313,809,940,8730.410,664.407,2172.977
305,10.1646,791,966,8762.033,716.154,2354.464
306,10.1979,780,988,8786.630,735.333,1958.520
307,10.2313,780,1013,8811.630,752.520,1626.394
308,10.2646,769,1027,8829.434,710.786,758.538
309,10.2979,776,1027,8836.434,636.272,-168.843
310,10.3313,763,1057,8869.130,642.710,-440.752
311,10.3646,735,1074,8901.887,691.680,-261.971
312,10.3979,736,1095,8922.910,667.818,-508.320
313,10.4312,731,1103,8932.344,617.584,-559.322
314,10.4646,728,1104,8935.507,594.553,-250.363
315,10.4979,715,1105,8948.545,476.587,-996.941
316,10.5312,712,1112,8956.161,325.711,-2196.254
317,10.5645,708,1120,8965.105,253.219,-2488.091
318,10.5979,699,1129,8977.833,272.987,-2068.001
319,10.6312,708,1123,8988.650,318.922,-1654.119
320,10.6645,703,1133,8999.830,307.772,-1013.094
321,10.6978,713,1129,9010.600,326.703,5.953
322,10.7312,713,1128,9011.600,279.028,154.882
323,10.7645,728,1130,9026.733,293.459,122.861
324,10.7978,730,1123,9034.013,272.236,-280.175
325,10.8312,731,1121,9036.249,218.559,-535.381
326,10.8645,738,1122,9043.320,196.359,-782.218
327,10.8978,735,1113,9052.807,247.291,-190.460
328,10.9311,735,1104,9061.807,210.487,-497.936
329,10.9645,758,1087,9090.408,338.436,397.281
330,10.9978,731,1081,9118.067,491.002,1634.985
331,11.0311,738,1088,9127.966,507.976,1870.076
332,11.0644,745,1099,9141.004,529.290,1692.335
333,11.0978,751,1093,9149.490,526.201,1894.666
334,11.1311,750,1084,9158.545,408.905,422.901
335,11.1644,749,1078,9164.628,279.424,-1269.723
336,11.1977,748,1074,9168.751,244.759,-1579.621
337,11.2311,749,1069,9173.850,197.113,-1993.462
338,11.2644,752,1061,9182.394,197.465,-1972.810
339,11.2977,757,1057,9188.797,181.549,-1364.415
340,11.3311,772,1048,9206.290,250.023,-176.443
341,11.3644,780,1041,9216.920,289.073,265.939
342,11.3977,795,1038,9232.217,350.274,919.149
343,11.4310,813,1033,9250.899,411.111,1282.132
344,11.4644,822,1031,9260.118,428.013,1479.084
345,11.4977,853,1026,9291.519,511.476,1569.037
346,11.5310,878,1029,9316.698,598.789,1858.671
347,11.5643,914,1036,9353.373,727.078,2261.282
348,11.5977,948,1052,9390.949,840.471,2576.680
349,11.6310,978,1067,9424.490,986.429,3351.173
350,11.6643,984,1087,9445.371,923.297,2471.418
351,11.6976,1001,1112,9475.603,953.621,2129.420
352,11.7310,1015,1139,9506.017,916.051,1134.065
353,11.7643,1028,1162,9532.437,849.096,51.760
354,11.7976,1047,1176,9556.038,789.443,-1182.156
355,11.8310,1062,1193,9578.709,800.191,-738.782
356,11.8643,1061,1202,9587.764,673.103,-1683.447
357,11.8976,1068,1217,9604.317,589.921,-1957.172
358,11.9309,1079,1222,9616.400,503.884,-2071.689
359,11.9643,1087,1224,9624.647,411.738,-2266.688
360,11.9976,1091,1227,9629.647,305.687,-2967.621
361,12.0309,1086,1220,9638.249,302.968,-2221.257
362,12.0642,1096,1215,9649.429,270.726,-1915.557
363,12.0976,1079,1213,9666.547,300.937,-1217.926
364,12.1309,1078,1199,9680.582,335.681,-456.432
365,12.1642,1072,1186,9694.900,391.599,515.577
366,12.1975,1075,1155,9726.045,526.881,1343.750
367,12.2309,1054,1148,9748.181,592.628,1931.802
368,12.2642,1040,1135,9767.286,604.557,1822.085
369,12.2975,1025,1124,9785.887,631.955,1778.001
370,12.3309,1018,1115,9797.289,614.455,1337.404
371,12.3642,1002,1099,9819.916,563.340,218.798
372,12.3975,992,1081,9840.507,554.070,-231.394
373,12.4308,981,1058,9866.002,592.419,-72.844
374,12.4642,981,1031,9893.002,642.822,65.218
375,12.4975,986,1001,9923.416,756.918,854.949
376,12.5308,990,970,9954.673,808.706,1472.489
377,12.5641,990,942,9982.673,853.167,1794.941
378,12.5975,995,916,10009.150,859.056,1600.146
379,12.6308,993,898,10027.260,805.710,977.522
380,12.6641,997,878,10047.656,745.591,-67.971
381,12.6974,998,865,10060.695,636.258,-1034.895
382,12.7308,1002,873,10069.639,521.901,-1987.999
383,12.7641,994,874,10077.701,411.393,-2686.516
384,12.7974,1002,873,10085.764,351.090,-2728.267
385,12.8308,994,885,10100.186,315.240,-2582.630
386,12.8641,986,905,10121.727,366.264,-1620.292
387,12.8974,978,916,10135.328,394.212,-766.283
388,12.9307,961,927,10155.576,467.344,335.773
389,12.9641,945,943,10178.204,554.753,1222.221
390,12.9974,931,941,10192.346,553.072,1427.281
391,13.0307,910,953,10216.533,568.952,1216.375
392,13.0640,892,967,10239.336,624.175,1380.055
393,13.0974,881,980,10256.366,604.857,825.242
394,13.1307,876,993,10270.294,552.652,-12.606
395,13.1640,861,1012,10294.502,613.056,359.978
396,13.1973,857,1037,10319.820,619.845,305.419
397,13.2307,851,1059,10342.623,619.845,-25.988
398,13.2640,842,1078,10363.647,643.816,233.802
399,13.2973,826,1104,10394.175,743.438,1144.944
400,13.3307,814,1116,10411.146,700.008,521.815
401,13.3640,802,1140,10437.979,709.099,535.631
402,13.3973,791,1163,10463.474,725.252,632.567
403,13.4306,769,1171,10486.883,739.568,574.627
404,13.4640,753,1184,10507.499,680.077,-380.241
405,13.4973,752,1202,10525.527,686.422,-81.534
406,13.5306,754,1216,10539.669,610.262,-593.138
407,13.5639,744,1212,10550.439,521.896,-1220.380
408,13.5973,743,1213,10551.853,389.898,-2098.441
409,13.6306,749,1207,10560.339,317.102,-2178.289
410,13.6639,749,1198,10569.339,262.925,-2541.493
411,13.6972,756,1195,10576.954,223.759,-2319.489
412,13.7306,757,1180,10591.988,249.342,-1635.655
413,13.7639,765,1175,10601.422,297.470,-554.682
414,13.7972,771,1177,10607.746,284.503,-195.635
415,13.8306,774,1182,10613.577,265.485,15.364
416,13.8639,773,1184,10615.813,233.200,56.660
417,13.8972,781,1187,10624.357,194.256,-330.577
418,13.9305,782,1196,10633.413,191.984,-633.040
419,13.9639,781,1198,10635.649,167.449,-702.467
420,13.9972,777,1198,10639.649,156.461,-654.276
421,14.0305,786,1210,10654.649,233.060,-0.843
422,14.0638,796,1215,10665.829,248.881,327.812
423,14.0972,806,1218,10676.269,257.192,391.324
424,14.1305,811,1219,10681.368,274.373,641.677
